,name,list_categories
155,MATERNE NORTH AMERICA CORP,"['Wallets', 'Shoes', 'Accessories', 'Shirts', 'Outerwear', 'Umbrellas', 'Accessories', 'Traditional Clothing', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Belts']"
156,ARTISANA,['Vitamins and supplements']
157,THAI KITCHEN,"['Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Swimwear', 'Suits And Uniforms', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Scarves', 'Sunglasses', 'Dresses']"
158,ORGANIC VALLEY,"['Outerwear', 'Traditional Clothing', 'Pants And Shorts']"
159,NATURES BENEFIT,"['Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie']"
160,BADGER,['Vitamins and supplements']
161,LIPO NATURALS,"['Petcare', 'Fruits And Vegetables', 'Condiments and Sauces', 'Oil', 'Green tea', 'Home & Interiors', 'Confectionery', 'Black tea', 'Snacks, Chips and Crackers']"
162,NEWMAN'S OWN,['Food And Drinks']
163,THE ESTEE LAUDER COMPANIES INC,"['Apparel', 'OLD_Accessories', 'OLD_Handbags', 'Dresses', 'Midi dresses', 'Tops And Sweaters']"
164,BEYOND YOGA,['Apparel']
165,JULIAN BAKERY,"['Swimwear', 'Accessories', 'Outerwear', 'Umbrellas', 'Swimwear', 'Accessories', 'Watches', 'Hats', 'Jewelry', 'Accessories', 'Gloves', 'Watches', 'Belts']"
166,KAREN KANE,"['Shoes', 'Accessories', 'Umbrellas', 'Accessories', 'Traditional Clothing', 'Jewelry', 'Accessories']"
167,"GF HARVEST, LLC",['Food And Drinks']
168,OREGON ICE CREAM,['Food And Drinks']
169,"CIRANDA, INC","['Other hair care', 'Shaving', 'Hair Conditioner', 'Moisturiser', 'Face cleanser', 'Body soap', 'Mask']"
